date,AIR,ACA,ATO,RMS,SAF,AI,CA,FP,OR,AC,EN,SAN,CS,BN,RI,MC,SW,ML,HO,KER,UG,EL,SU,VIE,SGO,CAP,DG,VIV,PUB,DSY,GLE,BNP,RNO,ORA,ENGI,LR,URW,FTI,MT,STM
2012-04-06,26.2718,3.0152,27.5453,235.5729,22.9489,57.2046,13.667,25.3188,78.9642,21.3545,14.0982,39.5892,7.3447,41.7646,66.4373,108.137,50.3799,42.4102,22.6362,97.8133,8.2291,65.2295,37.4719,7.563,24.5926,26.7918,27.9227,8.2318,33.2461,31.5107,14.711945,23.17,28.26,6.6173,11.1691,22.2381,95.6399,31.6662,26.1364,4.1197
2012-04-13,25.8736,2.8325,28.9719,231.7831,22.1585,55.8427,12.4205,24.1327,79.6035,20.537,13.8044,38.7621,6.8165,40.6564,65.5977,106.5862,49.7564,41.2955,22.2077,93.707,7.4703,64.003,36.3899,7.2661,23.4699,25.3273,26.2003,7.8482,32.9114,31.2759,12.951602,21.4257,26.7567,6.2997,10.7819,21.5023,93.7464,29.9608,25.1179,3.7127
2012-04-20,26.1862,2.7107,29.7425,236.4151,21.3894,56.8453,12.1569,24.1526,79.4134,20.8944,13.3638,39.7224,6.7253,42.4118,67.675,104.9777,51.5762,40.2428,21.7835,90.2538,6.865,62.8256,37.5591,7.2189,23.9527,24.3793,25.4369,7.9812,31.1646,31.9666,12.584255,20.8654,26.4144,6.2654,11.2172,21.2079,95.1748,31.2533,24.623,3.5637
2012-04-27,26.0748,2.8376,31.4108,249.4218,24.376,57.3611,12.4165,24.1857,80.9141,21.8311,14.3626,40.8019,6.9045,43.4229,69.631,107.4022,51.1549,43.9505,22.1909,97.6597,6.9,66.1027,38.0188,7.4854,25.2717,25.4924,26.7418,8.8319,31.8993,34.0756,13.209834,21.8803,26.5484,6.527,11.04,21.8765,96.1714,31.0522,25.2512,3.2138
2012-05-04,25.2829,2.6425,30.2681,250.6851,23.2737,56.115,11.4378,23.533,80.3668,21.3422,14.3908,40.6126,6.4989,43.617,69.2243,106.9769,50.7506,42.147,21.4643,96.7831,6.3296,65.8574,36.1918,7.0671,24.9537,24.6036,25.7678,8.6946,31.181,33.3849,12.58062,20.4319,24.1819,6.4803,10.6505,22.0531,93.9789,29.4617,23.3,2.9479
2012-05-11,24.4866,2.5091,30.0199,252.2291,23.2737,57.1091,11.4697,23.2812,81.0024,21.4367,15.0068,41.1875,6.5473,44.0986,69.0165,104.9351,50.919,42.3637,21.2542,97.298,6.707,68.2025,36.2345,7.0974,24.4984,24.8702,26.4523,8.8324,30.9728,33.1684,12.518789,20.2064,25.6396,6.5021,10.5945,22.1203,95.8803,29.098,23.8997,2.9194
2012-05-18,23.8103,2.1829,28.1394,243.2928,22.8165,56.1599,11.0343,22.9599,80.87,19.7975,14.2183,39.6892,6.2963,42.6212,65.9353,101.8726,48.7202,38.9816,20.4436,94.1728,6.1906,66.9662,35.2174,6.804,22.8536,23.1688,24.6697,9.1157,30.0953,31.9113,11.507685,18.4867,23.6346,6.228,10.1208,21.5485,93.5212,26.7575,21.701,2.6208
2012-05-25,23.3565,2.1633,27.5354,243.2928,22.6627,57.1211,11.5496,23.3111,80.4021,20.2782,14.4999,40.2768,6.3131,42.9781,67.2682,100.6391,49.1667,39.2318,20.4352,93.6196,6.243,67.8198,35.5798,6.9455,23.8585,23.3296,25.8766,9.0501,30.3239,33.7072,11.835021,18.7334,26.0259,6.4398,10.2455,21.456,95.7395,27.9296,21.8998,2.8873
2012-06-01,22.7675,2.0894,27.5223,242.9021,23.2437,56.5196,10.9504,22.5292,78.1243,19.3292,13.4368,39.3,5.9181,41.9655,66.4113,95.8325,48.5096,37.5327,20.0229,87.8049,5.9453,67.0545,34.4391,6.5747,21.8605,22.6947,24.701,8.9326,30.1239,32.975,11.613161,19.1351,26.1688,6.2747,9.9401,20.7438,93.4155,26.5186,20.8542,2.8389
2012-06-08,23.8128,2.2851,29.163,242.4802,23.3973,57.3343,11.0822,22.9234,80.6316,19.9372,13.8557,40.3576,6.4807,42.5382,68.4193,101.5323,50.4725,39.2762,20.521,90.811,6.1063,71.4012,35.6827,7.1997,21.6054,24.9062,25.4821,9.3783,30.8544,33.4401,12.74065,21.0146,25.9254,6.6143,10.1707,21.7908,96.655,28.4223,21.7655,3.0904
2012-06-15,23.0598,2.3808,29.5343,235.6835,23.8869,58.2088,11.5776,23.4767,80.3756,19.2407,14.0528,41.2683,6.655,43.2271,68.6703,100.5965,50.0934,38.356,20.594,88.5965,5.7068,71.1362,34.6738,7.2337,22.2713,24.6512,26.3805,9.5926,30.4912,32.8783,12.933415,21.7679,24.0286,6.6184,10.6599,22.2314,98.9789,29.4153,22.1779,3.0246
2012-06-22,22.8029,2.4294,30.0681,230.3398,24.4631,58.2021,11.5256,23.1737,78.4774,19.7641,14.4225,42.5462,6.7761,39.6041,69.6137,99.2779,50.6326,39.0098,21.8135,87.6466,5.8427,72.3039,34.7068,7.3402,22.6494,24.8798,27.2711,9.679,30.1402,34.2598,12.944327,21.7125,24.3609,6.7528,11.0089,22.3492,99.1902,28.6052,22.8398,3.2388
2012-06-29,24.7519,2.5164,31.2451,227.1055,25.3037,59.6529,11.6215,23.9077,81.435,20.8363,14.9259,43.8755,7.052,40.6831,72.9287,101.9577,51.7278,41.5524,22.346,88.7939,5.8883,71.9212,36.0163,7.2308,23.9237,25.4997,28.7358,10.1109,30.0103,34.6916,13.391687,22.403,24.2913,7.006,11.6882,23.3438,102.1832,30.5912,23.2331,3.1613
2012-07-06,24.8671,2.5178,31.0263,221.5743,24.3981,59.2687,11.1833,24.2849,82.4141,20.8532,14.1021,43.8829,6.727,41.3596,73.339,102.7233,51.6857,40.5515,22.8784,89.2688,5.3764,72.1763,35.4933,6.5472,23.1674,24.1456,27.9546,10.104,30.9385,34.9685,12.747925,21.5648,24.8824,6.8743,11.2519,23.2478,104.9648,30.3597,23.3002,3.0216
2012-07-13,24.1096,2.5055,31.3712,215.9963,24.5238,58.7519,12.04,24.268,80.9318,20.8997,14.0915,44.61,6.7694,41.3596,72.3813,101.1069,49.6806,40.3376,22.5864,86.4211,4.9238,70.8419,35.2421,6.5406,23.0235,23.0992,27.4663,10.8988,31.1633,35.0999,12.496967,21.9858,24.9481,7.3065,11.2395,23.0035,105.7395,31.8305,23.6264,2.8264
2012-07-20,25.434,2.3301,31.3644,214.9182,24.7014,59.6595,11.5475,24.2815,84.8693,21.2078,14.3908,45.8952,6.5386,41.9157,75.5127,102.936,50.9696,42.2546,23.1189,87.8449,4.986,71.5091,35.5798,6.4566,22.2014,23.7015,27.0992,10.4461,32.8615,36.0807,11.922311,21.0589,26.0993,7.2356,10.9434,23.6317,105.8451,33.0511,23.3098,2.9054
2012-07-27,26.4041,2.4236,30.5456,210.0433,24.0472,60.7459,11.742,25.1536,87.8799,22.4362,14.1162,47.8856,6.5904,40.9611,76.5777,105.8284,52.0227,44.5227,22.0497,95.5175,4.5615,70.0275,37.61,6.4798,20.1831,26.1152,26.9976,10.6569,33.9895,37.897,13.093447,22.2923,27.7681,7.4652,11.1927,23.0646,111.0212,32.9168,24.106,3.0845
2012-08-03,27.6399,2.5715,31.4839,209.9496,24.3678,62.0509,12.3339,26.2143,88.9482,23.099,14.6266,49.8098,6.8568,41.2185,77.0317,109.0611,53.0084,46.4841,22.6337,98.1678,4.4886,67.9278,41.0815,6.0474,20.8408,27.0297,26.3883,10.7709,33.8855,38.1645,13.475339,23.6327,27.0419,7.4618,11.9094,23.2042,114.4367,32.4763,23.5017,3.374
2012-08-10,27.1925,2.8847,31.5701,208.4964,24.7014,62.879,13.0292,26.9113,88.7716,22.909,15.3272,49.3545,7.5566,40.708,76.5166,114.5481,52.8483,46.25,22.6637,101.0155,4.9602,66.9073,40.4844,5.9294,21.8808,26.5197,27.2242,10.802,34.8553,36.8598,14.599195,24.8697,28.5987,7.5699,12.0341,22.8988,113.9789,32.5173,24.8255,3.597
2012-08-17,26.7983,3.1283,31.6231,210.512,24.6321,63.6607,13.4431,27.1942,88.904,23.1243,15.8094,48.8771,7.7854,41.1023,75.3294,113.4848,53.4043,47.3558,23.2306,101.8462,5.3126,66.7209,42.2181,6.3487,22.6289,26.9505,27.6499,11.0785,34.5265,36.7471,15.675766,25.8482,29.5066,7.7657,12.489,24.4781,115.8804,33.4506,25.0077,3.6153
2012-08-24,26.2225,3.0761,30.7677,207.4652,23.7439,63.6275,13.3272,26.5241,88.4184,22.3222,15.6123,47.9958,7.8023,42.339,76.4468,112.2087,53.5223,46.6536,22.6895,99.75,4.9093,67.6726,41.0156,6.1474,22.6659,25.9349,27.2203,10.7951,34.7096,36.0807,14.962898,25.2426,28.873,7.6036,12.3176,24.2687,114.155,31.9089,23.7364,3.4899
2012-08-31,26.8603,3.3624,30.8672,214.6369,24.1382,61.9715,13.7949,26.7396,86.2907,21.2838,13.9226,47.7754,7.7451,41.1272,74.7881,110.4222,52.9663,46.0482,22.6895,98.2469,4.5683,68.0847,41.3533,6.0952,22.4234,25.6975,27.0211,10.7744,34.3516,36.2356,15.312057,25.5196,28.7146,7.4247,12.1992,23.972,114.1902,31.2593,22.9056,3.5198
